tau,WaX_nd,WaY_nd
18.605210,1.945102e-01,-4.221172e-02
18.640116,1.946994e-01,-3.620538e-02
18.675023,1.948590e-01,-3.018802e-02
18.709930,1.949892e-01,-2.416146e-02
18.744836,1.950903e-01,-1.812753e-02
18.779743,1.951623e-01,-1.208809e-02
18.814649,1.952055e-01,-6.044967e-03
18.849556,1.952199e-01,-1.272538e-16
18.884463,1.952055e-01,6.044967e-03
18.919369,1.951623e-01,1.208809e-02
18.954276,1.950903e-01,1.812753e-02
18.989182,1.949892e-01,2.416146e-02
19.024089,1.948590e-01,3.018802e-02
19.058995,1.946994e-01,3.620538e-02
19.093902,1.945102e-01,4.221172e-02
19.128809,1.942911e-01,4.820520e-02
19.163715,1.940417e-01,5.418400e-02
19.198622,1.937617e-01,6.014629e-02
19.233528,1.934505e-01,6.609025e-02
19.268435,1.931077e-01,7.201409e-02
19.303342,1.927328e-01,7.791599e-02
19.338248,1.923253e-01,8.379416e-02
19.373155,1.918845e-01,8.964680e-02
19.408061,1.914097e-01,9.547214e-02
19.442968,1.909003e-01,1.012684e-01
19.477874,1.903556e-01,1.070338e-01
19.512781,1.897748e-01,1.127666e-01
19.547688,1.891571e-01,1.184651e-01
19.582594,1.885018e-01,1.241274e-01
19.617501,1.878078e-01,1.297520e-01
19.652407,1.870745e-01,1.353370e-01
19.687314,1.863007e-01,1.408808e-01
19.722221,1.854857e-01,1.463817e-01
19.757127,1.846285e-01,1.518380e-01
19.792034,1.837280e-01,1.572481e-01
19.826940,1.827832e-01,1.626102e-01
19.861847,1.817932e-01,1.679229e-01
19.896753,1.807568e-01,1.731843e-01
19.931660,1.796730e-01,1.783930e-01
19.966567,1.785408e-01,1.835474e-01
20.001473,1.773590e-01,1.886459e-01
20.036380,1.761266e-01,1.936869e-01
20.071286,1.748424e-01,1.986689e-01
20.106193,1.735054e-01,2.035904e-01
20.141100,1.721144e-01,2.084499e-01
20.176006,1.706683e-01,2.132458e-01
20.210913,1.691660e-01,2.179769e-01
20.245819,1.676064e-01,2.226415e-01
20.280726,1.659884e-01,2.272383e-01
20.315632,1.643109e-01,2.317659e-01
20.350539,1.625728e-01,2.362229e-01
20.385446,1.607731e-01,2.406079e-01
20.420352,1.589106e-01,2.449196e-01
20.455259,1.569844e-01,2.491568e-01
20.490165,1.549934e-01,2.533180e-01
20.525072,1.529366e-01,2.574021e-01
20.559979,1.508131e-01,2.614077e-01
20.594885,1.486219e-01,2.653338e-01
20.629792,1.463621e-01,2.691790e-01
20.664698,1.440328e-01,2.729422e-01
20.699605,1.416332e-01,2.766223e-01
20.734512,1.391623e-01,2.802181e-01
20.769418,1.366195e-01,2.837286e-01
20.804325,1.340040e-01,2.871526e-01
20.839231,1.313150e-01,2.904892e-01
20.874138,1.285520e-01,2.937373e-01
20.909044,1.257143e-01,2.968959e-01
20.943951,1.228014e-01,2.999641e-01
20.978858,1.198127e-01,3.029409e-01
21.013764,1.167477e-01,3.058254e-01
21.048671,1.136061e-01,3.086167e-01
21.083577,1.103875e-01,3.113141e-01
21.118484,1.070916e-01,3.139166e-01
21.153391,1.037181e-01,3.164235e-01
21.188297,1.002668e-01,3.188340e-01
21.223204,9.673773e-02,3.211474e-01
21.258110,9.313069e-02,3.233630e-01
21.293017,8.944572e-02,3.254801e-01
21.327923,8.568289e-02,3.274980e-01
21.362830,8.184234e-02,3.294162e-01
21.397737,7.792427e-02,3.312340e-01
21.432643,7.392894e-02,3.329509e-01
21.467550,6.985671e-02,3.345664e-01
21.502456,6.570799e-02,3.360800e-01
21.537363,6.148325e-02,3.374912e-01
21.572270,5.718306e-02,3.387997e-01
21.607176,5.280805e-02,3.400049e-01
21.642083,4.835892e-02,3.411065e-01
21.676989,4.383645e-02,3.421043e-01
21.711896,3.924150e-02,3.429978e-01
21.746802,3.457500e-02,3.437869e-01
21.781709,2.983795e-02,3.444712e-01
21.816616,2.503143e-02,3.450506e-01
21.851522,2.015660e-02,3.455249e-01
21.886429,1.521469e-02,3.458940e-01
21.921335,1.020702e-02,3.461577e-01
21.956242,5.134971e-03,3.463159e-01
21.991149,1.268673e-16,3.463687e-01
22.026055,-5.196355e-03,3.463159e-01
22.060962,-1.045248e-02,3.461577e-01
