crank_deg,WaX_dim_N,WaY_dim_N
506.000,5271.482,-5797.063
507.000,5308.368,-5646.185
508.000,5343.739,-5493.588
509.000,5377.627,-5339.317
510.000,5410.064,-5183.419
511.000,5441.082,-5025.943
512.000,5470.714,-4866.936
513.000,5498.991,-4706.446
514.000,5525.943,-4544.523
515.000,5551.601,-4381.215
516.000,5575.995,-4216.573
517.000,5599.152,-4050.647
518.000,5621.102,-3883.486
519.000,5641.871,-3715.143
520.000,5661.487,-3545.668
521.000,5679.974,-3375.113
522.000,5697.357,-3203.529
523.000,5713.660,-3030.970
524.000,5728.906,-2857.488
525.000,5743.116,-2683.135
526.000,5756.310,-2507.965
527.000,5768.508,-2332.031
528.000,5779.728,-2155.387
529.000,5789.987,-1978.086
530.000,5799.301,-1800.183
531.000,5807.683,-1621.731
532.000,5815.147,-1442.785
533.000,5821.706,-1263.400
534.000,5827.368,-1083.630
535.000,5832.144,-903.530
536.000,5836.041,-723.154
537.000,5839.065,-542.558
538.000,5841.222,-361.797
539.000,5842.515,-180.926
540.000,5842.945,-0.000
541.000,5842.515,180.926
542.000,5841.222,361.797
543.000,5839.065,542.558
544.000,5836.041,723.154
545.000,5832.144,903.530
546.000,5827.368,1083.630
547.000,5821.706,1263.400
548.000,5815.147,1442.785
549.000,5807.683,1621.731
550.000,5799.301,1800.183
551.000,5789.987,1978.086
552.000,5779.728,2155.387
553.000,5768.508,2332.031
554.000,5756.310,2507.965
555.000,5743.116,2683.135
556.000,5728.906,2857.488
557.000,5713.660,3030.970
558.000,5697.357,3203.529
559.000,5679.974,3375.113
560.000,5661.487,3545.668
561.000,5641.871,3715.143
562.000,5621.102,3883.486
563.000,5599.152,4050.647
564.000,5575.995,4216.573
565.000,5551.601,4381.215
566.000,5525.943,4544.523
567.000,5498.991,4706.446
568.000,5470.714,4866.936
569.000,5441.082,5025.943
570.000,5410.064,5183.419
571.000,5377.627,5339.317
572.000,5343.739,5493.588
573.000,5308.368,5646.185
574.000,5271.482,5797.063
575.000,5233.046,5946.174
576.000,5193.029,6093.475
577.000,5151.396,6238.919
578.000,5108.114,6382.463
579.000,5063.151,6524.063
580.000,5016.472,6663.676
581.000,4968.045,6801.258
582.000,4917.837,6936.769
583.000,4865.816,7070.167
584.000,4811.949,7201.411
585.000,4756.206,7330.462
586.000,4698.554,7457.280
587.000,4638.964,7581.826
588.000,4577.405,7704.063
589.000,4513.848,7823.953
590.000,4448.265,7941.459
591.000,4380.629,8056.547
592.000,4310.913,8169.180
593.000,4239.091,8279.326
